scenario_type,failure_prob,run,failed_count,failed_stations
random,0.2,6.0,8,S+U Rathaus Spandau Bstggl.1; U Hönow Bstggl.1; U Kottbusser Tor; U Kurfürstendamm Bstggl.1; U Kurfürstenstr. Bstggl.1; U Leopoldplatz U9 Bstggl.1; U Schlesisches Tor Bstggl.1; U Uhlandstr. Bstggl.1
random,0.2,7.0,8,S+U Rathaus Spandau Bstggl.1; S+U Warschauer Str. Bstggl.1; U Bayerischer Platz Bstggl.1; U Hohenzollernplatz Bstggl.1; U Leopoldplatz U9 Bstggl.1; U Mehringdamm Bstggl.1; U Nollendorfplatz; U Stadtmitte Bstggl.1
random,0.2,8.0,8,S+U Hermannstr. Bstggl.1; S+U Rathaus Spandau Bstggl.1; S+U Wittenau Bstggl.1; U Görlitzer Bahnhof Bstggl.1; U Hermannplatz Bstggl.1; U Leopoldplatz U9 Bstggl.1; U Prinzenstr. Bstggl.1; U Rudow Bstggl.1
random,0.2,9.0,8,S+U Alexanderplatz Bstggl.1; S+U Pankow Bstggl.1; S+U Rathaus Steglitz Bstggl.1; U Bayerischer Platz Bstggl.1; U Hönow Bstggl.1; U Kurfürstendamm Bstggl.1; U Leopoldplatz U9 Bstggl.1; U Nollendorfplatz
degree,,,1,S+U Alexanderplatz Bstggl.1
degree,,,2,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten
degree,,,3,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1
degree,,,4,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Berliner Str. Bstggl.1
degree,,,5,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Berliner Str. Bstggl.1; U Bismarckstr.
degree,,,6,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Berliner Str. Bstggl.1; U Bismarckstr.; U Fehrbelliner Platz Bstggl.1
degree,,,7,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Berliner Str. Bstggl.1; U Bismarckstr.; U Fehrbelliner Platz Bstggl.1; U Gleisdreieck
degree,,,8,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Berliner Str. Bstggl.1; U Bismarckstr.; U Fehrbelliner Platz Bstggl.1; U Gleisdreieck; U Hallesches Tor
betweenness,,,1,S+U Alexanderplatz Bstggl.1
betweenness,,,2,S+U Alexanderplatz Bstggl.1; U Leopoldplatz U9 Bstggl.1
betweenness,,,3,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Leopoldplatz U9 Bstggl.1
betweenness,,,4,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Kottbusser Tor; U Leopoldplatz U9 Bstggl.1
betweenness,,,5,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Kottbusser Tor; U Leopoldplatz U9 Bstggl.1
betweenness,,,6,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Kottbusser Tor; U Leopoldplatz U9 Bstggl.1; U Möckernbrücke Bstggl.1
betweenness,,,7,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Berliner Str. Bstggl.1; U Kottbusser Tor; U Leopoldplatz U9 Bstggl.1; U Möckernbrücke Bstggl.1
betweenness,,,8,S+U Alexanderplatz Bstggl.1; S+U Zoologischer Garten; U Bayerischer Platz Bstggl.1; U Berliner Str. Bstggl.1; U Kottbusser Tor; U Leopoldplatz U9 Bstggl.1; U Möckernbrücke Bstggl.1; U Unter den Linden Bstggl.1
